Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
South East,Acute trust,Acute - Large,RHW,Royal Berkshire NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.12,,,,2.0
London,Acute trust,Acute - Teaching,RJ1,Guy's and St Thomas' NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.53,,,,19.0
London,Acute trust,Acute - Large,RJ2,Lewisham and Greenwich NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.38,,,,63.0
London,Acute trust,Acute - Medium,RJ6,Croydon Health Services NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.73,,,,80.0
London,Acute trust,Acute - Teaching,RJ7,St George's University Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.05,,,,42.0
Midlands,Acute trust,Acute - Teaching,RJC,South Warwickshire University NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.08,,,,46.0
Midlands,Acute trust,Acute - Teaching,RJE,University Hospitals of North Midlands NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.53,,,,71.0
North East,Acute trust,Acute - Medium,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.38,,,,126.0
North West,Acute trust,Acute - Small,RJN,East Cheshire NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.38,,,,63.0
North West,Acute trust,Acute - Small,RJR,Countess of Chester Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.55,,,,130.0
London,Acute trust,Acute - Teaching,RJZ,King's College Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.61,,,,76.0
Midlands,Acute trust,Acute - Medium,RK5,Sherwood Forest Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.98,,,,39.0
South West,Acute trust,Acute - Teaching,RK9,University Hospitals Plymouth NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.09,,,,110.0
Midlands,Acute trust,Acute - Teaching,RKB,University Hospitals Coventry and Warwickshire NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.86,,,,89.0
London,Acute trust,Acute - Multi-Service,RKE,Whittington Health NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.7,,,,25.0
Midlands,Acute trust,Acute - Specialist,RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.95,,,,36.0
Midlands,Acute trust,Acute - Large,RL4,The Royal Wolverhampton NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.96,,,,101.0
Midlands,Acute trust,Acute - Multi-Service,RLQ,Wye Valley NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.19,,,,55.0
Midlands,Acute trust,Acute - Small,RLT,George Eliot Hospital NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.48,,,,68.0
East,Acute trust,Acute - Teaching,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.87,,,,91.0
North West,Acute trust,Acute - Teaching,RM3,Northern Care Alliance NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.61,,,,133.0
North West,Acute trust,Acute - Medium,RMC,Bolton NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.24,,,,58.0
North West,Acute trust,Acute - Small,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.83,,,,86.0
South West,Acute trust,Acute - Medium,RN3,Great Western Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.38,,,,63.0
South East,Acute trust,Acute - Large,RN5,Hampshire Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.11,,,,49.0
South East,Acute trust,Acute - Small,RN7,Dartford and Gravesham NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.07,,,,45.0
Midlands,Acute trust,Acute - Medium,RNA,The Dudley Group NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.02,,,,105.0
North East,Acute trust,Acute - Medium,RNN,North Cumbria Integrated Care NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.37,,,,125.0
Midlands,Acute trust,Acute - Small,RNQ,Kettering General Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.75,,,,81.0
Midlands,Acute trust,Acute - Medium,RNS,Northampton General Hospital NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.71,,,,78.0
South West,Acute trust,Acute - Small,RNZ,Salisbury NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.43,,,,12.0
London,Acute trust,Acute - Specialist,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.19,,,,6.0
North East,Acute trust,Acute - Teaching,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.92,,,,98.0
London,Acute trust,Acute - Specialist,RP6,Moorfields Eye Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.77,,,,28.0
South East,Acute trust,Acute - Medium,RPA,Medway NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.71,,,,78.0
South East,Acute trust,Acute - Specialist,RPC,Queen Victoria Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.09,,,,1.0
London,Acute trust,Acute - Specialist,RPY,The Royal Marsden NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.16,,,,4.0
Midlands,Acute trust,Acute - Specialist,RQ3,Birmingham Women's and Children's NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.85,,,,30.0
London,Acute trust,Acute - Teaching,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.21,,,,8.0
East,Acute trust,Acute - Small,RQW,The Princess Alexandra Hospital NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.54,,,,72.0
London,Acute trust,Acute - Teaching,RQX,Homerton Healthcare NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.86,,,,33.0
North East,Acute trust,Acute - Medium,RR7,Gateshead Health NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.9,,,,96.0
North East,Acute trust,Acute - Teaching,RR8,Leeds Teaching Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.43,,,,67.0
North West,Acute trust,Acute - Medium,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.14,,,,116.0
Midlands,Acute trust,Acute - Specialist,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.55,,,,73.0
Midlands,Acute trust,Acute - Teaching,RRK,University Hospitals Birmingham NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.33,,,,122.0
London,Acute trust,Acute - Teaching,RRV,University College London Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.34,,,,10.0
North East,Acute trust,Acute - Teaching,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.99,,,,103.0
South West,Acute trust,Acute - Large,RTE,Gloucestershire Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.56,,,,74.0
North East,Acute trust,Acute - Large,RTF,Northumbria Healthcare NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.3,,,,60.0
Midlands,Acute trust,Acute - Teaching,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.05,,,,107.0
South East,Acute trust,Acute - Teaching,RTH,Oxford University Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.66,,,,24.0
South East,Acute trust,Acute - Medium,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.47,,,,14.0
South East,Acute trust,Acute - Medium,RTP,Surrey and Sussex Healthcare NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.02,,,,40.0
North East,Acute trust,Acute - Teaching,RTR,South Tees Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.23,,,,121.0
North West,Acute trust,Acute - Teaching,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.08,,,,109.0
South West,Acute trust,Acute - Large,RVJ,North Bristol NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.85,,,,30.0
London,Acute trust,Acute - Teaching,RVR,Epsom and St Helier University Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.32,,,,62.0
South East,Acute trust,Acute - Teaching,RVV,East Kent Hospitals University NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.09,,,,110.0
North East,Acute trust,Acute - Medium,RVW,North Tees and Hartlepool NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.91,,,,97.0
North East,Acute trust,Acute - Teaching,RWA,Hull University Teaching Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.51,,,,69.0
Midlands,Acute trust,Acute - Large,RWD,United Lincolnshire Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.12,,,,114.0
Midlands,Acute trust,Acute - Teaching,RWE,University Hospitals of Leicester NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.97,,,,37.0
South East,Acute trust,Acute - Large,RWF,Maidstone and Tunbridge Wells NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.38,,,,11.0
East,Acute trust,Acute - Teaching,RWG,West Hertfordshire Teaching Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.97,,,,37.0
East,Acute trust,Acute - Large,RWH,East and North Hertfordshire NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.02,,,,40.0
North West,Acute trust,Acute - Medium,RWJ,Stockport NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.8,,,,85.0
Midlands,Acute trust,Acute - Large,RWP,Worcestershire Acute Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.75,,,,81.0
North West,Acute trust,Acute - Teaching,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.95,,,,99.0
North East,Acute trust,Acute - Large,RWY,Calderdale and Huddersfield NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.51,,,,69.0
Midlands,Acute trust,Acute - Teaching,RX1,Nottingham University Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.89,,,,95.0
South East,Acute trust,Acute - Large,RXC,East Sussex Healthcare NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.04,,,,106.0
North East,Acute trust,Acute - Teaching,RXF,Mid Yorkshire Teaching NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.6,,,,132.0
Midlands,Acute trust,Acute - Large,RXK,Sandwell and West Birmingham Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.14,,,,116.0
North West,Acute trust,Acute - Teaching,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.35,,,,124.0
North West,Acute trust,Acute - Teaching,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.67,,,,134.0
North East,Acute trust,Acute - Multi-Service,RXP,County Durham and Darlington NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.21,,,,119.0
South East,Acute trust,Acute - Multi-Service,RXQ,Buckinghamshire Healthcare NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.51,,,,18.0
North West,Acute trust,Acute - Large,RXR,East Lancashire Hospitals NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.41,,,,127.0
Midlands,Acute trust,Acute - Medium,RXW,The Shrewsbury and Telford Hospital NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,3.1,,,,113.0
London,Acute trust,Acute - Teaching,RYJ,Imperial College Healthcare NHS Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,1.53,,,,19.0
South East,Acute trust,Acute - Teaching,RYR,University Hospitals Sussex NHS Foundation Trust,People and workforce,People and workforce domain score,OF4004,People and workforce domain score,Q1 2025/26,score,2.86,,,,89.0
North West,Acute trust,Acute - Teaching,R0A,Manchester University NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.01,,,,53.0
North East,Acute trust,Acute - Large,R0B,South Tyneside and Sunderland NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.34,,,,93.0
South West,Acute trust,Acute - Teaching,R0D,University Hospitals Dorset NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.44,,,,97.0
South East,Acute trust,Acute - Multi-Service,R1F,Isle of Wight NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.72,,,,129.0
London,Acute trust,Acute - Teaching,R1H,Barts Health NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.91,,,,36.0
London,Acute trust,Acute - Teaching,R1K,London North West University Healthcare NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.45,,,,99.0
South East,Acute trust,Acute - Medium,RA2,Royal Surrey County Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.66,,,,20.0
South West,Acute trust,Acute - Teaching,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.44,,,,97.0
South West,Acute trust,Acute - Multi-Service,RA9,Torbay and South Devon NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.83,,,,26.0
North East,Acute trust,Acute - Teaching,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.85,,,,32.0
East,Acute trust,Acute - Large,RAJ,Mid and South Essex NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.0,,,,51.0
London,Acute trust,Acute - Teaching,RAL,Royal Free London NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.98,,,,49.0
London,Acute trust,Acute - Specialist,RAN,Royal National Orthopaedic Hospital NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.5,,,,16.0
London,Acute trust,Acute - Small,RAS,The Hillingdon Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.91,,,,36.0
London,Acute trust,Acute - Medium,RAX,Kingston and Richmond NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.84,,,,30.0
South West,Acute trust,Acute - Small,RBD,Dorset County Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.31,,,,89.0
Midlands,Acute trust,Acute - Small,RBK,Walsall Healthcare NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.08,,,,55.0
North West,Acute trust,Acute - Teaching,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.97,,,,40.0
North West,Acute trust,Acute - Teaching,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.97,,,,40.0
North West,Acute trust,Acute - Specialist,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.12,,,,10.0
North West,Acute trust,Acute - Specialist,RBS,Alder Hey Children's NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.0,,,,1.0
North West,Acute trust,Acute - Small,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.95,,,,39.0
North West,Acute trust,Acute - Specialist,RBV,The Christie NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.17,,,,13.0
East,Acute trust,Acute - Medium,RC9,Bedfordshire Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.11,,,,58.0
North East,Acute trust,Acute - Teaching,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.17,,,,70.0
North East,Acute trust,Acute - Small,RCD,Harrogate and District NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.25,,,,85.0
North East,Acute trust,Acute - Small,RCF,Airedale NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.9,,,,35.0
North East,Acute trust,Acute - Specialist,RCU,Sheffield Children's NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.0,,,,1.0
East,Acute trust,Acute - Small,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.5,,,,109.0
South West,Acute trust,Acute - Medium,RD1,Royal United Hospitals Bath NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.11,,,,58.0
East,Acute trust,Acute - Teaching,RD8,Milton Keynes University Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.64,,,,122.0
East,Acute trust,Acute - Large,RDE,East Suffolk and North Essex NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.77,,,,23.0
South East,Acute trust,Acute - Large,RDU,Frimley Health NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.88,,,,34.0
South West,Acute trust,Acute - Large,REF,Royal Cornwall Hospitals NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.11,,,,58.0
North West,Acute trust,Acute - Teaching,REM,Liverpool University Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.47,,,,105.0
North West,Acute trust,Acute - Specialist,REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.13,,,,11.0
North West,Acute trust,Acute - Specialist,REP,Liverpool Women's NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.13,,,,11.0
North West,Acute trust,Acute - Specialist,RET,The Walton Centre NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.0,,,,1.0
London,Acute trust,Acute - Teaching,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.83,,,,26.0
North East,Acute trust,Acute - Small,RFF,Barnsley Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.65,,,,124.0
North East,Acute trust,Acute - Small,RFR,The Rotherham NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.21,,,,79.0
Midlands,Acute trust,Acute - Small,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.97,,,,40.0
East,Acute trust,Acute - Specialist,RGM,Royal Papworth Hospital NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.0,,,,1.0
East,Acute trust,Acute - Large,RGN,North West Anglia NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.83,,,,26.0
East,Acute trust,Acute - Teaching,RGP,James Paget University Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.62,,,,121.0
East,Acute trust,Acute - Small,RGR,West Suffolk NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.86,,,,33.0
East,Acute trust,Acute - Teaching,RGT,Cambridge University Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.39,,,,94.0
South West,Acute trust,Acute - Multi-Service,RH5,Somerset NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.46,,,,103.0
South West,Acute trust,Acute - Large,RH8,Royal Devon University Healthcare NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.64,,,,19.0
South East,Acute trust,Acute - Teaching,RHM,University Hospital Southampton NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.2,,,,76.0
North East,Acute trust,Acute - Teaching,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.68,,,,127.0
South East,Acute trust,Acute - Large,RHU,Portsmouth Hospitals University National Health Service Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.51,,,,110.0
South East,Acute trust,Acute - Large,RHW,Royal Berkshire NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.47,,,,105.0
London,Acute trust,Acute - Teaching,RJ1,Guy's and St Thomas' NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.02,,,,54.0
London,Acute trust,Acute - Large,RJ2,Lewisham and Greenwich NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.22,,,,81.0
London,Acute trust,Acute - Medium,RJ6,Croydon Health Services NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.73,,,,130.0
London,Acute trust,Acute - Teaching,RJ7,St George's University Hospitals NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.91,,,,36.0
Midlands,Acute trust,Acute - Teaching,RJC,South Warwickshire University NHS Foundation Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,1.79,,,,25.0
Midlands,Acute trust,Acute - Teaching,RJE,University Hospitals of North Midlands NHS Trust,Effectiveness and experience,Effectiveness and experience domain score,OF4005,Effectiveness and experience domain score,Q1 2025/26,score,2.17,,,,70.0
